date,manufacturer,carrier,fatalities,location
5/11/1973,Ilyushin,,63,"Zharma District, Kazakh SSR, USSR"
10/2/1971,Vickers,,63,"Aarsele, Belgium"
3/5/1968,Boeing,,63,"La Grande Soufrière volcano, Guadeloupe"
7/27/1963,de,,63,"Arabian Sea, off Mumbai, India"
8/29/1960,Lockheed,,63,"Yoff, Senegal"
3/17/1960,Lockheed,,63,"Cannelton, Indiana, US"
3/19/2016,Boeing,,62,"Rostov-on-Don, Russia"
1/3/1976,Tupolev,,62,"Moscow Oblast, Russian SFSR, USSR"
12/4/1969,Boeing,,62,"Maiquetía, Venezuela"
10/4/1960,Lockheed,,62,"Boston, Massachusetts, US"
12/9/1956,Canadair,,62,"Slesse Mountain, B.C., Canada"
2/24/1999,Tupolev,,61,"Wenzhou, Zhejiang, China"
7/11/1979,Fokker,,61,"Mount Sibayak, near Berastagi, Indonesia"
11/28/1972,McDonnell,,61,
4/1/1970,Sud,,61,"Berrechid, Morocco"
3/24/1968,Vickers,,61,"St George's Channel, off Wexford, Ireland"
5/30/1961,Douglas,,61,"Lisboa, Portugal"
2/25/1960,Douglas,,61,"Guanabara Bay, Brazil"
5/18/1958,Douglas,,61,"Casablanca, Morocco"
12/8/1957,Douglas,,61,"Bolívar, Argentina"
7/16/2005,Antonov,,60,"Baney, Equatorial Guinea"
7/17/2000,Boeing,,60,"Patna, Bihar, India"
3/31/1995,Airbus,,60,"Balotești, Romania"
9/30/1975,Tupolev,,60,"Beirut, Lebanon"
10/27/1972,Vickers,,60,"Noirétable, France"
6/21/1989,de,,59,"Tarma, Peru"
12/2/1977,Tupolev,,59,"Ar Rajma, Libya"
8/15/1976,Vickers,,59,"Chimborazo volcano, Andes Mts., Ecuador"
11/20/1974,Boeing,,59,"Nairobi, Kenya"
12/17/1961,Ilyushin,,59,"Tarasovsky District, Russian SFSR, USSR"
2/5/1960,Douglas,,59,"Arbieto, Bolivia"
10/10/1956,Douglas,,59,"Porcupine Seabight, Atlantic Ocean"
3/17/1979,Tupolev,,58,"Minsk, Byelorussian SSR, USSR"
9/28/1968,Douglas,,58,"Rivers State, Nigeria"
11/8/1965,Boeing,,58,"Hebron, Kentucky, US"
2/25/1964,Douglas,,58,"Lake Pontchartrain, Louisiana, US"
7/16/1957,Lockheed,,58,"Biak Island, Indonesia"
7/12/1953,Douglas,,58,
11/13/1950,Douglas,,58,"Grande Tête de l'Obiou mountain, France"
6/23/1950,Douglas,,58,"Lake Michigan, off Benton Harbor, Michigan, US"
8/24/1938,Fokker,,58,
11/30/2007,McDonnell,,57,"Keçiborlu, Turkey"
11/15/2000,Antonov,,57,"Luanda, Angola"
12/29/1994,Boeing,,57,"Van, Turkey"
4/23/1979,Vickers,,57,"Pastaza Province, Ecuador"
12/1/1971,Antonov,,57,"Saratov Oblast, Russian SFSR, USSR"
6/20/1964,Curtiss,,57,"Jiaoxi, Taiwan"
4/26/1993,Boeing,,56,"Aurangabad, India"
12/21/1992,McDonnell,,56,"Faro, Portugal"
8/18/1973,Antonov,,56,"Neftyanyye Kamni, Azerbaijan"
3/5/1967,Douglas,,56,"Monrovia, Liberia"
1/15/1966,Douglas,,56,"Cartagena, Colombia"
12/16/1951,Curtiss,,56,"Hillside, New Jersey, US"
11/21/2004,Bombardier,,55,"Baotou, Inner Mongolia, China"
7/23/1993,British,,55,"Yinchuan, China"
9/8/1989,Convair,,55,"Skagerrak, near Hirtshals, Denmark"
8/22/1985,Boeing,,55,"Manchester, England, UK"
4/12/1980,Boeing,,55,"Santa Catarina, Brazil"
8/3/1969,Antonov,,55,"Dnipropetrovsk, Ukrainian SSR, USSR"
5/3/1963,Douglas,,55,"Mount Cameroon, Cameroon"
8/31/1950,Lockheed,,55,"Wadi Natrun, Egypt"
11/1/1949,Douglas,,55,"Alexandria, Virginia, US"
8/16/2015,ATR,,54,"Pegunungan Bintang Regency, Papua, Indonesia"
10/26/1989,Boeing,,54,"Hualien City, Taiwan"
8/25/1989,Fokker,,54,"Bunji, Pakistan"
7/2/1986,Tupolev,,54,"Komi ASSR, Russian SFSR, USSR"
4/10/1965,Handley,,54,"Al-Dimas, Syria"
6/24/1960,Convair,,54,"Guanabara Bay, Brazil"
9/24/1959,Douglas,,54,"Mérignac, France"
4/20/1998,Boeing,,53,"Monserrate Mtn., Bogotá, Colombia"
5/3/1996,Antonov,,53,"Khartoum North, Sudan"
11/8/1995,Fokker,,53,"Champaqui, Córdoba, Argentina"
9/18/1984,Douglas,,53,"Quito Canton, Ecuador"
11/28/1983,Fokker,,53,"Enugu, Nigeria"
4/2/1969,Antonov,,53,"Polica Mtn., Poland"
6/7/1949,Curtiss,,53,"San Juan, Puerto Rico, US"
5/30/1947,Douglas,,53,"Bainbridge, Maryland, US"
2/15/1947,Douglas,,53,"Subachoque, Colombia"
12/5/1995,Tupolev,,52,"Nakhchivan, Azerbaijan"
5/15/1976,Antonov,,52,"Chernihiv, Ukrainian SSR, USSR"
3/16/1975,Fokker,,52,"Pilcaniyeu, Argentina"
11/12/1971,Antonov,,52,"Vinnytsia, Ukrainian SSR, USSR"
11/23/1961,de,,52,"Campinas, Brazil"
3/28/1961,Ilyushin,,52,"Gräfenberg, West Germany"
2/20/1956,Douglas,,52,"New Cairo, Egypt"
